session,bars,bars_in_trade,trades_entered,gate_open_pct,session_pnl,sharpe_intra,beta,hl_median
2024-10-02,388,7,4,0.0387,-0.2849,-3.1222,0.998638,2.08
2024-10-03,390,1,1,0.0128,-0.135,-2.8663,0.99843,2.23
2024-10-04,389,11,7,0.0797,-0.5834,-4.9123,0.998346,8.33
2024-10-07,386,8,8,0.044,-0.7363,-3.9665,0.998233,2.11
2024-10-08,390,3,2,0.0308,-0.2328,-2.73,0.997886,2.13
2024-10-09,383,14,9,0.1253,-1.0179,-5.9207,0.99769,2.18
2024-10-10,381,9,7,0.0814,-0.8742,-4.5695,0.997375,2.13
2024-10-11,374,7,5,0.0374,-0.3651,-3.7593,0.997803,2.92
2024-10-14,375,3,3,0.072,-0.5118,-4.9023,0.998151,5.08
2024-10-15,376,4,2,0.0239,-0.09,-2.514,0.998413,2.44
2024-10-16,382,14,7,0.0759,-0.4846,-4.4987,0.998218,4.98
2024-10-17,387,3,2,0.0439,-0.2279,-3.7164,0.998426,7.5
2024-10-18,386,1,1,0.0104,-0.1016,-2.2136,0.998595,3.67
2024-10-21,390,0,0,0.0,0.0,0.0,0.998241,20.0
2024-10-22,390,6,3,0.0308,-0.2955,-3.7398,0.997622,3.2
2024-10-23,391,0,0,0.0026,-0.0207,-1.4106,0.997792,20.0
2024-10-24,387,4,4,0.031,-0.4351,-3.1042,0.997336,2.18
2024-10-25,387,1,1,0.0155,-0.1011,-1.8461,0.997163,3.82
2024-10-28,387,1,1,0.0724,-0.2319,-4.122,0.997408,10.27
2024-10-29,388,0,0,0.0,0.0,0.0,0.997676,20.0
2024-10-30,389,4,3,0.1594,-0.8637,-6.7589,0.998092,2.02
2024-10-31,391,3,3,0.0128,-0.2783,-2.4963,0.998309,2.88
2024-11-01,391,10,6,0.0486,-0.528,-3.9829,0.998213,4.11
2024-11-04,389,0,0,0.0026,-0.0092,-1.4215,0.998174,20.0
2024-11-05,389,8,8,0.0566,-0.6116,-4.8872,0.998062,2.86
2024-11-06,391,5,4,0.0256,-0.3923,-3.0721,0.997993,4.45
2024-11-07,391,12,10,0.0716,-0.8801,-4.9015,0.998111,2.96
